ejercicio_id,tipo_ejercicio,vocab_id,frase_id,contenido,respuesta,opciones,categoria,dificultad,pista
E0040,leer_escribir,P0029,,Lee la palabra en náhuatl 'kokolisyo'' y escribe su traducción al español,enfermo,,otras,intermedio,Se ve así: e_____o
E0041,completar_frase,P0029,,Completa: La palabra en náhuatl para 'enfermo' es _____,kokolisyo',kokolisyo'|'oysi|kokxx,otras,intermedio,Empieza con: ko
E0042,leer_escribir,P0030,,Lee la palabra en náhuatl 'kualantok' y escribe su traducción al español,enojado,,saludos y tiempo,intermedio,Se ve así: e_____o
E0043,completar_frase,P0030,,Completa: La palabra en náhuatl para 'enojado' es _____,kualantok,kualantok|kotna|kuaxx,saludos y tiempo,intermedio,Empieza con: ku
E0044,leer_escribir,P0031,,Lee la palabra en náhuatl 'kualaxtli' y escribe su traducción al español,enojón,,saludos y tiempo,intermedio,Se ve así: e____n
E0045,completar_frase,P0031,,Completa: La palabra en náhuatl para 'enojón' es _____,kualaxtli,kualaxtli|otro|iltxa,saludos y tiempo,intermedio,Empieza con: ku
E0046,leer_escribir,P0032,,Lee la palabra en náhuatl 'paki' y escribe su traducción al español,feliz,,otras,basico,Se ve así: f___z
E0047,leer_escribir,P0033,,Lee la palabra en náhuatl 'itstik' y escribe su traducción al español,frio,,otras,intermedio,Se ve así: f__o
E0048,leer_escribir,P0034,,Lee la palabra en náhuatl 'chikauak' y escribe su traducción al español,fuerte,,otras,intermedio,Se ve así: f____e
E0049,leer_escribir,P0035,,Lee la palabra en náhuatl 'tolontik' y escribe su traducción al español,gordo,,otras,intermedio,Se ve así: g___o
E0050,leer_escribir,P0036,,Lee la palabra en náhuatl 'tomauak' y escribe su traducción al español,grueso,,otras,basico,Se ve así: g____o
E0051,leer_escribir,P0037,,Lee la palabra en náhuatl 'ueyi' y escribe su traducción al español,grande,,otras,basico,Se ve así: g____e
E0052,seleccionar_imagen,P0038,,Selecciona la imagen que representa 'poktik',gris,gris|pájaro|luna|árbol,colores,basico,Tiene 4 letras y empieza con 'g'
E0053,leer_escribir,P0038,,Lee la palabra en náhuatl 'poktik' y escribe su traducción al español,gris,,colores,basico,Se ve así: g__s
E0054,leer_escribir,P0039,,Lee la palabra en náhuatl 'kamauak' y escribe su traducción al español,humedo,,otras,basico,Se ve así: h____o
E0055,leer_escribir,P0040,,Lee la palabra en náhuatl 'telpochtli' y escribe su traducción al español,joven,,otras,intermedio,Se ve así: j___n
E0056,completar_frase,P0040,,Completa: La palabra en náhuatl para 'joven' es _____,telpochtli,telpochtli|otro|ilthc,otras,intermedio,Empieza con: te
E0057,leer_escribir,P0041,,Lee la palabra en náhuatl 'uiak' y escribe su traducción al español,largo,,otras,basico,Se ve así: l___o
E0058,leer_escribir,P0042,,Lee la palabra en náhuatl 'tlapaktli' y escribe su traducción al español,lavado,,otras,intermedio,Se ve así: l____o
E0059,completar_frase,P0042,,Completa: La palabra en náhuatl para 'lavado' es _____,tlapaktli,tlapaktli|iltka|otro,otras,intermedio,Empieza con: tl
E0060,leer_escribir,P0043,,Lee la palabra en náhuatl 'yolik' y escribe su traducción al español,lento,,otras,basico,Se ve así: l___o
E0061,leer_escribir,P0044,,Lee la palabra en náhuatl 'chipauak' y escribe su traducción al español,limpio,,otras,intermedio,Se ve así: l____o
E0062,leer_escribir,P0045,,Lee la palabra en náhuatl 'mojkatsi' y escribe su traducción al español,miedoso,,números,intermedio,Se ve así: m_____o
E0063,leer_escribir,P0046,,Lee la palabra en náhuatl 'miyik' y escribe su traducción al español,mucho,,otras,basico,Se ve así: m___o
E0064,seleccionar_imagen,P0047,,Selecciona la imagen que representa 'tliltik',negro,negro|casa|luna|árbol,colores,intermedio,Tiene 5 letras y empieza con 'n'
E0065,leer_escribir,P0047,,Lee la palabra en náhuatl 'tliltik' y escribe su traducción al español,negro,,colores,intermedio,Se ve así: n___o
E0066,leer_escribir,P0048,,Lee la palabra en náhuatl 'kichini' y escribe su traducción al español,pequeño,,otras,basico,Se ve así: p_____o
E0067,leer_escribir,P0049,,Lee la palabra en náhuatl 'kokok' y escribe su traducción al español,picoso,,otras,basico,Se ve así: p____o
E0068,leer_escribir,P0050,,Lee la palabra en náhuatl 'a'mo tominye'' y escribe su traducción al español,pobre,,otras,intermedio,Se ve así: p___e
E0069,completar_frase,P0050,,Completa: La palabra en náhuatl para 'pobre' es _____,a'mo tominye',a'mo tominye'|a'mxx|'eyni,otras,intermedio,Empieza con: a'
E0070,leer_escribir,P0051,,Lee la palabra en náhuatl 'tipitsi' y escribe su traducción al español,poco,,otras,intermedio,Se ve así: p__o
E0071,leer_escribir,P0052,,Lee la palabra en náhuatl 'kapotstik' y escribe su traducción al español,prieto,,otras,intermedio,Se ve así: p____o
E0072,completar_frase,P0052,,Completa: La palabra en náhuatl para 'prieto' es _____,kapotstik,kapotstik|kitst|otro,otras,intermedio,Empieza con: ka
E0073,leer_escribir,P0053,,Lee la palabra en náhuatl 'postijki' y escribe su traducción al español,quebrado,,otras,intermedio,Se ve así: q______o
E0074,leer_escribir,P0054,,Lee la palabra en náhuatl 'i'sijka' y escribe su traducción al español,rápido,,otras,intermedio,Se ve así: r____o
E0075,leer_escribir,P0055,,Lee la palabra en náhuatl 'yaualtik' y escribe su traducción al español,redondo,,otras,intermedio,Se ve así: r_____o
E0076,leer_escribir,P0056,,Lee la palabra en náhuatl 'alastik' y escribe su traducción al español,resbaloso,,otras,basico,Se ve así: r_______o
E0077,leer_escribir,P0057,,Lee la palabra en náhuatl 'tominye’' y escribe su traducción al español,rico,,otras,intermedio,Se ve así: r__o
E0078,seleccionar_imagen,P0058,,Selecciona la imagen que representa 'chichiltik',rojo,rojo|casa|víbora|luna,colores,intermedio,Tiene 4 letras y empieza con 'r'
E0079,leer_escribir,P0058,,Lee la palabra en náhuatl 'chichiltik' y escribe su traducción al español,rojo,,colores,intermedio,Se ve así: r__o
E0080,completar_frase,P0058,,Completa: La palabra en náhuatl para 'rojo' es _____,chichiltik,chichiltik|otro|kitli,colores,intermedio,Empieza con: ch
E0081,leer_escribir,P0059,,Lee la palabra en náhuatl 'a’mo' y escribe su traducción al español,salvo,,otras,basico,Se ve así: s___o
E0082,leer_escribir,P0060,,Lee la palabra en náhuatl 'tlokoya' y escribe su traducción al español,triste,,otras,intermedio,Se ve así: t____e
E0083,leer_escribir,P0061,,Lee la palabra en náhuatl 'soltik' y escribe su traducción al español,viejo,,otras,basico,Se ve así: v___o
E0084,leer_escribir,P0062,,Lee la palabra en náhuatl 'milauak' y escribe su traducción al español,True,,otras,basico,Se ve así: T__e
E0085,leer_escribir,P0063,,Lee la palabra en náhuatl 'no' y escribe su traducción al español,mi,,otras,basico,Se ve así: mi
E0086,leer_escribir,P0064,,Lee la palabra en náhuatl 'mo' y escribe su traducción al español,tu,,otras,basico,Se ve así: tu
E0087,leer_escribir,P0065,,Lee la palabra en náhuatl 'i' y escribe su traducción al español,su,,otras,basico,Se ve así: su
E0088,leer_escribir,P0066,,Lee la palabra en náhuatl 'to' y escribe su traducción al español,nuestro,,otras,basico,Se ve así: n_____o
E0089,leer_escribir,P0067,,Lee la palabra en náhuatl 'namo' y escribe su traducción al español,su,,otras,basico,Se ve así: su
E0090,leer_escribir,P0068,,Lee la palabra en náhuatl 'in' y escribe su traducción al español,sus,,otras,basico,Se ve así: s_s
E0091,leer_escribir,P0069,,Lee la palabra en náhuatl 'yolik' y escribe su traducción al español,despacio,,otras,basico,Se ve así: d______o
E0092,leer_escribir,P0070,,Lee la palabra en náhuatl 'semi yolik' y escribe su traducción al español,muy lento,,otras,intermedio,Se ve así: m_______o
E0093,completar_frase,P0070,,Completa: La palabra en náhuatl para 'muy lento' es _____,semi yolik,semi yolik|otro|semxx,otras,intermedio,Empieza con: se
E0094,leer_escribir,P0071,,Lee la palabra en náhuatl 'yalua' y escribe su traducción al español,ayer,,saludos y tiempo,basico,Se ve así: a__r
E0095,completar_frase,P0071,,Completa: La palabra en náhuatl para 'ayer' es _____,yalua,yalua|yalxx|otro,saludos y tiempo,basico,Empieza con: ya
E0096,leer_escribir,P0072,,Lee la palabra en náhuatl 'mostle’' y escribe su traducción al español,diariamente,,otras,intermedio,Se ve así: d_________e
E0097,leer_escribir,P0073,,Lee la palabra en náhuatl 'soktepa' y escribe su traducción al español,después,,saludos y tiempo,basico,Se ve así: d_____s
E0098,completar_frase,P0073,,Completa: La palabra en náhuatl para 'después' es _____,soktepa,soktepa|apetk|otro,saludos y tiempo,basico,Empieza con: so
E0099,leer_escribir,P0074,,Lee la palabra en náhuatl 'tla’tlamiayan' y escribe su traducción al español,finalmente,,saludos y tiempo,intermedio,Se ve así: f________e
E0100,completar_frase,P0074,,Completa: La palabra en náhuatl para 'finalmente' es _____,tla’tlamiayan,tla’tlamiayan|nayai|otro,saludos y tiempo,intermedio,Empieza con: tl
E0101,leer_escribir,P0075,,Lee la palabra en náhuatl 'axa' y escribe su traducción al español,hoy,,saludos y tiempo,intermedio,Se ve así: h_y
E0102,completar_frase,P0075,,Completa: La palabra en náhuatl para 'hoy' es _____,axa,axa|otro|axa,saludos y tiempo,intermedio,Empieza con: ax
E0103,leer_escribir,P0076,,Lee la palabra en náhuatl 'mostla' y escribe su traducción al español,mañana,,saludos y tiempo,intermedio,Se ve así: m____a
E0104,completar_frase,P0076,,Completa: La palabra en náhuatl para 'mañana' es _____,mostla,mostla|altso|otro,saludos y tiempo,intermedio,Empieza con: mo
E0105,leer_escribir,P0077,,Lee la palabra en náhuatl 'ok ipan' y escribe su traducción al español,mientras,,saludos y tiempo,basico,Se ve así: m______s
E0106,completar_frase,P0077,,Completa: La palabra en náhuatl para 'mientras' es _____,ok ipan,ok ipan|napi |ok xx,saludos y tiempo,basico,Empieza con: ok
E0107,leer_escribir,P0078,,Lee la palabra en náhuatl 'niankema' y escribe su traducción al español,nunca,,saludos y tiempo,intermedio,Se ve así: n___a
E0108,completar_frase,P0078,,Completa: La palabra en náhuatl para 'nunca' es _____,niankema,niankema|amekn|otro,saludos y tiempo,intermedio,Empieza con: ni
E0109,leer_escribir,P0079,,Lee la palabra en náhuatl 'achtopa' y escribe su traducción al español,primeramente,,otras,basico,Se ve así: p__________e
E0110,leer_escribir,P0080,,Lee la palabra en náhuatl 'nochipa' y escribe su traducción al español,siempre,,saludos y tiempo,basico,Se ve así: s_____e
E0111,completar_frase,P0080,,Completa: La palabra en náhuatl para 'siempre' es _____,nochipa,nochipa|apihc|otro,saludos y tiempo,basico,Empieza con: no
E0112,leer_escribir,P0081,,Lee la palabra en náhuatl 'miak' y escribe su traducción al español,mucho,,otras,basico,Se ve así: m___o
E0113,leer_escribir,P0082,,Lee la palabra en náhuatl 'niantle' y escribe su traducción al español,nada,,otras,intermedio,Se ve así: n__a
E0114,leer_escribir,P0083,,Lee la palabra en náhuatl 'a’mo miak' y escribe su traducción al español,poco,,otras,intermedio,Se ve así: p__o
E0115,completar_frase,P0083,,Completa: La palabra en náhuatl para 'poco' es _____,a’mo miak,a’mo miak|a’mxx|otro,otras,intermedio,Empieza con: a’
E0116,leer_escribir,P0084,,Lee la palabra en náhuatl 'tipitsi' y escribe su traducción al español,poquito,,otras,intermedio,Se ve así: p_____o
E0117,leer_escribir,P0085,,Lee la palabra en náhuatl 'keme'' y escribe su traducción al español,si,,saludos y tiempo,intermedio,Se ve así: si
E0118,completar_frase,P0085,,Completa: La palabra en náhuatl para 'si' es _____,keme',keme'|'emek|kemxx,saludos y tiempo,intermedio,Empieza con: ke
E0119,leer_escribir,P0086,,Lee la palabra en náhuatl 'a'mo' y escribe su traducción al español,no,,saludos y tiempo,intermedio,Se ve así: no
E0120,completar_frase,P0086,,Completa: La palabra en náhuatl para 'no' es _____,a'mo,a'mo|otro|om'a,saludos y tiempo,intermedio,Empieza con: a'
E0121,leer_escribir,P0087,,Lee la palabra en náhuatl 'noijki a'mo' y escribe su traducción al español,tampoco,,otras,intermedio,Se ve así: t_____o
E0122,completar_frase,P0087,,Completa: La palabra en náhuatl para 'tampoco' es _____,noijki a'mo,noijki a'mo|om'a |noixx,otras,intermedio,Empieza con: no
E0123,leer_escribir,P0088,,Lee la palabra en náhuatl 'no iuan' y escribe su traducción al español,además,,otras,basico,Se ve así: a____s
E0124,leer_escribir,P0089,,Lee la palabra en náhuatl 'a’chika' y escribe su traducción al español,constantemente,,otras,basico,Se ve así: c____________e
E0125,leer_escribir,P0090,,Lee la palabra en náhuatl 'a’mo iuan' y escribe su traducción al español,exclusive,,saludos y tiempo,intermedio,Se ve así: e_______e
E0126,completar_frase,P0090,,Completa: La palabra en náhuatl para 'exclusive' es _____,a’mo iuan,a’mo iuan|naui |a’mxx,saludos y tiempo,intermedio,Empieza con: a’
E0127,leer_escribir,P0091,,Lee la palabra en náhuatl 'iuan' y escribe su traducción al español,incluso,,otras,basico,Se ve así: i_____o
E0128,leer_escribir,P0092,,Lee la palabra en náhuatl 'kemanian' y escribe su traducción al español,ocasionalmente,,saludos y tiempo,intermedio,Se ve así: o____________e
E0129,completar_frase,P0092,,Completa: La palabra en náhuatl para 'ocasionalmente' es _____,kemanian,kemanian|kemxx|naina,saludos y tiempo,intermedio,Empieza con: ke
E0130,leer_escribir,P0093,,Lee la palabra en náhuatl 'soktepa' y escribe su traducción al español,posteriormente,,otras,basico,Se ve así: p____________e
E0131,leer_escribir,P0094,,Lee la palabra en náhuatl 'noijki' y escribe su traducción al español,también,,saludos y tiempo,basico,Se ve así: t_____n
E0132,completar_frase,P0094,,Completa: La palabra en náhuatl para 'también' es _____,noijki,noijki|ikjio|noixx,saludos y tiempo,basico,Empieza con: no
E0133,leer_escribir,P0095,,Lee la palabra en náhuatl 'tlalpa' y escribe su traducción al español,abajo,,direcciones y lugares,intermedio,Se ve así: a___o
E0134,leer_escribir,P0096,,Lee la palabra en náhuatl 'nepa' y escribe su traducción al español,allá,,direcciones y lugares,basico,Se ve así: a__á
E0135,leer_escribir,P0097,,Lee la palabra en náhuatl 'nichka' y escribe su traducción al español,allí,,otras,basico,Se ve así: a__í
E0136,leer_escribir,P0098,,Lee la palabra en náhuatl 'nika' y escribe su traducción al español,aquí,,direcciones y lugares,basico,Se ve así: a__í
E0137,leer_escribir,P0099,,Lee la palabra en náhuatl 'ue’kapa' y escribe su traducción al español,arriba,,direcciones y lugares,basico,Se ve así: a____a
E0138,leer_escribir,P0100,,Lee la palabra en náhuatl 'a’mo ue’ka' y escribe su traducción al español,cerca,,direcciones y lugares,intermedio,Se ve así: c___a
E0139,completar_frase,P0100,,Completa: La palabra en náhuatl para 'cerca' es _____,a’mo ue’ka,a’mo ue’ka|a’mxx|otro,direcciones y lugares,intermedio,Empieza con: a’
E0140,leer_escribir,P0101,,Lee la palabra en náhuatl 'itlampa in' y escribe su traducción al español,debajo de,,direcciones y lugares,intermedio,Se ve así: d_______e
E0141,completar_frase,P0101,,Completa: La palabra en náhuatl para 'debajo de' es _____,itlampa in,itlampa in|itlxx|ni ap,direcciones y lugares,intermedio,Empieza con: it
E0142,leer_escribir,P0102,,Lee la palabra en náhuatl 'tlaixpa' y escribe su traducción al español,delante,,direcciones y lugares,intermedio,Se ve así: d_____e
E0143,leer_escribir,P0103,,Lee la palabra en náhuatl 'tla’tik' y escribe su traducción al español,dentro,,direcciones y lugares,intermedio,Se ve así: d____o
E0144,leer_escribir,P0104,,Lee la palabra en náhuatl 'pani' y escribe su traducción al español,encima,,direcciones y lugares,basico,Se ve así: e____a
E0145,leer_escribir,P0105,,Lee la palabra en náhuatl 'kaltenko' y escribe su traducción al español,fuera,,direcciones y lugares,intermedio,Se ve así: f___a
E0146,leer_escribir,P0106,,Lee la palabra en náhuatl 'ue'ka' y escribe su traducción al español,lejos,,direcciones y lugares,intermedio,Se ve así: l___s
E0147,leer_escribir,P0107,,Lee la palabra en náhuatl 'ompik' y escribe su traducción al español,por allá,,direcciones y lugares,basico,Se ve así: p______á
E0148,leer_escribir,P0108,,Lee la palabra en náhuatl 'nikik' y escribe su traducción al español,por aquí,,direcciones y lugares,basico,Se ve así: p______í
E0149,leer_escribir,P0109,,Lee la palabra en náhuatl 'itech' y escribe su traducción al español,sobre,,direcciones y lugares,basico,Se ve así: s___e
E0150,leer_escribir,P0110,,Lee la palabra en náhuatl 'keman' y escribe su traducción al español,cuando,,otras,basico,Se ve así: c____o
E0151,leer_escribir,P0111,,Lee la palabra en náhuatl '¿kenik?' y escribe su traducción al español,¿cómo?,,preguntas,basico,Se ve así: ¿____?
E0152,leer_escribir,P0112,,Lee la palabra en náhuatl '¿keman?' y escribe su traducción al español,¿cuándo?,,preguntas,basico,Se ve así: ¿______?
E0153,leer_escribir,P0113,,Lee la palabra en náhuatl '¿kechi?' y escribe su traducción al español,¿cuánto?,,preguntas,basico,Se ve así: ¿______?
E0154,leer_escribir,P0114,,Lee la palabra en náhuatl '¿keman?' y escribe su traducción al español,¿dónde?,,preguntas,basico,Se ve así: ¿_____?
E0155,leer_escribir,P0115,,Lee la palabra en náhuatl '¿tleka?' y escribe su traducción al español,¿para qué?,,otras,intermedio,Se ve así: ¿________?
E0156,leer_escribir,P0116,,Lee la palabra en náhuatl '¿tleka?' y escribe su traducción al español,¿por qué?,,preguntas,intermedio,Se ve así: ¿_______?
E0157,leer_escribir,P0117,,Lee la palabra en náhuatl '¿tlenon?' y escribe su traducción al español,¿qué?,,preguntas,intermedio,Se ve así: ¿___?
E0158,leer_escribir,P0118,,Lee la palabra en náhuatl '¿akinon?' y escribe su traducción al español,¿quién?,,preguntas,intermedio,Se ve así: ¿_____?
E0159,leer_escribir,P0119,,Lee la palabra en náhuatl 'yolilistili' y escribe su traducción al español,nacer,,verbos y acciones,intermedio,Se ve así: n___r
E0160,completar_frase,P0119,,Completa: La palabra en náhuatl para 'nacer' es _____,yolilistili,yolilistili|yolxx|otro,verbos y acciones,intermedio,Empieza con: yo
E0161,leer_escribir,P0120,,Lee la palabra en náhuatl 'nikilistli' y escribe su traducción al español,amar,,elementos de la naturaleza,intermedio,Se ve así: a__r
E0162,completar_frase,P0120,,Completa: La palabra en náhuatl para 'amar' es _____,nikilistli,nikilistli|nikxx|iltsi,elementos de la naturaleza,intermedio,Empieza con: ni
E0163,leer_escribir,P0121,,Lee la palabra en náhuatl 'tlakualistli' y escribe su traducción al español,comer,,verbos y acciones,intermedio,Se ve así: c___r
E0164,completar_frase,P0121,,Completa: La palabra en náhuatl para 'comer' es _____,tlakualistli,tlakualistli|otro|iltsi,verbos y acciones,intermedio,Empieza con: tl
E0165,leer_escribir,P0122,,Lee la palabra en náhuatl 'onilistli' y escribe su traducción al español,beber,,verbos y acciones,intermedio,Se ve así: b___r
E0166,completar_frase,P0122,,Completa: La palabra en náhuatl para 'beber' es _____,onilistli,onilistli|iltsi|onixx,verbos y acciones,intermedio,Empieza con: on
E0167,leer_escribir,P0123,,Lee la palabra en náhuatl 'yetos' y escribe su traducción al español,ser,,verbos y acciones,intermedio,Se ve así: s_r
E0168,completar_frase,P0123,,Completa: La palabra en náhuatl para 'ser' es _____,yetos,yetos|yetxx|otro,verbos y acciones,intermedio,Empieza con: ye
E0169,leer_escribir,P0124,,Lee la palabra en náhuatl 'nemachtilistli' y escribe su traducción al español,aprender,,verbos y acciones,intermedio,Se ve así: a______r
E0170,completar_frase,P0124,,Completa: La palabra en náhuatl para 'aprender' es _____,nemachtilistli,nemachtilistli|nemxx|otro,verbos y acciones,intermedio,Empieza con: ne
E0171,leer_escribir,P0125,,Lee la palabra en náhuatl 'paxalolistli' y escribe su traducción al español,pasear,,verbos y acciones,intermedio,Se ve así: p____r
E0172,completar_frase,P0125,,Completa: La palabra en náhuatl para 'pasear' es _____,paxalolistli,paxalolistli|paxxx|otro,verbos y acciones,intermedio,Empieza con: pa
E0173,leer_escribir,P0126,,Lee la palabra en náhuatl 'auiltilistli' y escribe su traducción al español,jugar,,verbos y acciones,intermedio,Se ve así: j___r
E0174,completar_frase,P0126,,Completa: La palabra en náhuatl para 'jugar' es _____,auiltilistli,auiltilistli|otro|auixx,verbos y acciones,intermedio,Empieza con: au
E0175,leer_escribir,P0127,,Lee la palabra en náhuatl 'tikitilistli' y escribe su traducción al español,trabajar,,verbos y acciones,intermedio,Se ve así: t______r
E0176,completar_frase,P0127,,Completa: La palabra en náhuatl para 'trabajar' es _____,tikitilistli,tikitilistli|iltsi|tikxx,verbos y acciones,intermedio,Empieza con: ti
E0177,leer_escribir,P0128,,Lee la palabra en náhuatl 'o ni mauiltiaya' y escribe su traducción al español,jugaba,,otras,intermedio,Se ve así: j____a
E0178,completar_frase,P0128,,Completa: La palabra en náhuatl para 'jugaba' es _____,o ni mauiltiaya,o ni mauiltiaya|otro|ayait,otras,intermedio,Empieza con: o 
E0179,leer_escribir,P0129,,Lee la palabra en náhuatl 'o ni momachtiaya' y escribe su traducción al español,estudiaba,,otras,intermedio,Se ve así: e_______a
E0180,completar_frase,P0129,,Completa: La palabra en náhuatl para 'estudiaba' es _____,o ni momachtiaya,o ni momachtiaya|ayait|otro,otras,intermedio,Empieza con: o 
E0181,leer_escribir,P0130,,Lee la palabra en náhuatl 'o ni moseuiaya' y escribe su traducción al español,descansaba,,otras,intermedio,Se ve así: d________a
E0182,completar_frase,P0130,,Completa: La palabra en náhuatl para 'descansaba' es _____,o ni moseuiaya,o ni moseuiaya|otro|ayaiu,otras,intermedio,Empieza con: o 
E0183,leer_escribir,P0131,,Lee la palabra en náhuatl 'o ni tekitiaya' y escribe su traducción al español,trabajaba,,otras,intermedio,Se ve así: t_______a
E0184,completar_frase,P0131,,Completa: La palabra en náhuatl para 'trabajaba' es _____,o ni tekitiaya,o ni tekitiaya|o nxx|otro,otras,intermedio,Empieza con: o 
E0185,leer_escribir,P0132,,Lee la palabra en náhuatl 'o ni tlatsotsonaya' y escribe su traducción al español,tocaba,,otras,intermedio,Se ve así: t____a
