ejercicio_id,tipo_ejercicio,vocab_id,frase_id,contenido,respuesta,opciones,categoria,dificultad
E0036,leer_escribir,P0025,,Lee la palabra en náhuatl 'kanauak' y escribe su traducción al español,delgado,,otras,basico
E0037,leer_escribir,P0026,,Lee la palabra en náhuatl 'uue'' y escribe su traducción al español,dificil,,otras,intermedio
E0038,leer_escribir,P0027,,Lee la palabra en náhuatl 'niuktik' y escribe su traducción al español,dulce,,otras,basico
E0039,leer_escribir,P0028,,Lee la palabra en náhuatl 'chikauak' y escribe su traducción al español,duro,,otras,intermedio
E0040,leer_escribir,P0029,,Lee la palabra en náhuatl 'kokolisyo'' y escribe su traducción al español,enfermo,,otras,intermedio
E0041,completar_frase,P0029,,Completa: La palabra en náhuatl para 'enfermo' es _____,kokolisyo',kokolisyo'|'oysi|kokxx,otras,intermedio
E0042,leer_escribir,P0030,,Lee la palabra en náhuatl 'kualantok' y escribe su traducción al español,enojado,,saludos y tiempo,intermedio
E0043,completar_frase,P0030,,Completa: La palabra en náhuatl para 'enojado' es _____,kualantok,kualantok|kotna|kuaxx,saludos y tiempo,intermedio
E0044,leer_escribir,P0031,,Lee la palabra en náhuatl 'kualaxtli' y escribe su traducción al español,enojón,,saludos y tiempo,intermedio
E0045,completar_frase,P0031,,Completa: La palabra en náhuatl para 'enojón' es _____,kualaxtli,kualaxtli|otro|iltxa,saludos y tiempo,intermedio
E0046,leer_escribir,P0032,,Lee la palabra en náhuatl 'paki' y escribe su traducción al español,feliz,,otras,basico
E0047,leer_escribir,P0033,,Lee la palabra en náhuatl 'itstik' y escribe su traducción al español,frio,,otras,intermedio
E0048,leer_escribir,P0034,,Lee la palabra en náhuatl 'chikauak' y escribe su traducción al español,fuerte,,otras,intermedio
E0049,leer_escribir,P0035,,Lee la palabra en náhuatl 'tolontik' y escribe su traducción al español,gordo,,otras,intermedio
E0050,leer_escribir,P0036,,Lee la palabra en náhuatl 'tomauak' y escribe su traducción al español,grueso,,otras,basico
E0051,leer_escribir,P0037,,Lee la palabra en náhuatl 'ueyi' y escribe su traducción al español,grande,,otras,basico
E0052,seleccionar_imagen,P0038,,Selecciona la imagen que representa 'poktik',gris,gris|pájaro|luna|árbol,colores,basico
E0053,leer_escribir,P0038,,Lee la palabra en náhuatl 'poktik' y escribe su traducción al español,gris,,colores,basico
E0054,leer_escribir,P0039,,Lee la palabra en náhuatl 'kamauak' y escribe su traducción al español,humedo,,otras,basico
E0055,leer_escribir,P0040,,Lee la palabra en náhuatl 'telpochtli' y escribe su traducción al español,joven,,otras,intermedio
E0056,completar_frase,P0040,,Completa: La palabra en náhuatl para 'joven' es _____,telpochtli,telpochtli|otro|ilthc,otras,intermedio
E0057,leer_escribir,P0041,,Lee la palabra en náhuatl 'uiak' y escribe su traducción al español,largo,,otras,basico
E0058,leer_escribir,P0042,,Lee la palabra en náhuatl 'tlapaktli' y escribe su traducción al español,lavado,,otras,intermedio
E0059,completar_frase,P0042,,Completa: La palabra en náhuatl para 'lavado' es _____,tlapaktli,tlapaktli|iltka|otro,otras,intermedio
E0060,leer_escribir,P0043,,Lee la palabra en náhuatl 'yolik' y escribe su traducción al español,lento,,otras,basico
E0061,leer_escribir,P0044,,Lee la palabra en náhuatl 'chipauak' y escribe su traducción al español,limpio,,otras,intermedio
E0062,leer_escribir,P0045,,Lee la palabra en náhuatl 'mojkatsi' y escribe su traducción al español,miedoso,,números,intermedio
E0063,leer_escribir,P0046,,Lee la palabra en náhuatl 'miyik' y escribe su traducción al español,mucho,,otras,basico
E0064,seleccionar_imagen,P0047,,Selecciona la imagen que representa 'tliltik',negro,negro|casa|luna|árbol,colores,intermedio
E0065,leer_escribir,P0047,,Lee la palabra en náhuatl 'tliltik' y escribe su traducción al español,negro,,colores,intermedio
E0066,leer_escribir,P0048,,Lee la palabra en náhuatl 'kichini' y escribe su traducción al español,pequeño,,otras,basico
E0067,leer_escribir,P0049,,Lee la palabra en náhuatl 'kokok' y escribe su traducción al español,picoso,,otras,basico
E0068,leer_escribir,P0050,,Lee la palabra en náhuatl 'a'mo tominye'' y escribe su traducción al español,pobre,,otras,intermedio
E0069,completar_frase,P0050,,Completa: La palabra en náhuatl para 'pobre' es _____,a'mo tominye',a'mo tominye'|a'mxx|'eyni,otras,intermedio
E0070,leer_escribir,P0051,,Lee la palabra en náhuatl 'tipitsi' y escribe su traducción al español,poco,,otras,intermedio
E0071,leer_escribir,P0052,,Lee la palabra en náhuatl 'kapotstik' y escribe su traducción al español,prieto,,otras,intermedio
E0072,completar_frase,P0052,,Completa: La palabra en náhuatl para 'prieto' es _____,kapotstik,kapotstik|kitst|otro,otras,intermedio
E0073,leer_escribir,P0053,,Lee la palabra en náhuatl 'postijki' y escribe su traducción al español,quebrado,,otras,intermedio
E0074,leer_escribir,P0054,,Lee la palabra en náhuatl 'i'sijka' y escribe su traducción al español,rápido,,otras,intermedio
E0075,leer_escribir,P0055,,Lee la palabra en náhuatl 'yaualtik' y escribe su traducción al español,redondo,,otras,intermedio
E0076,leer_escribir,P0056,,Lee la palabra en náhuatl 'alastik' y escribe su traducción al español,resbaloso,,otras,basico
E0077,leer_escribir,P0057,,Lee la palabra en náhuatl 'tominye’' y escribe su traducción al español,rico,,otras,intermedio
E0078,seleccionar_imagen,P0058,,Selecciona la imagen que representa 'chichiltik',rojo,rojo|casa|víbora|luna,colores,intermedio
E0079,leer_escribir,P0058,,Lee la palabra en náhuatl 'chichiltik' y escribe su traducción al español,rojo,,colores,intermedio
E0080,completar_frase,P0058,,Completa: La palabra en náhuatl para 'rojo' es _____,chichiltik,chichiltik|otro|kitli,colores,intermedio
E0081,leer_escribir,P0059,,Lee la palabra en náhuatl 'a’mo' y escribe su traducción al español,salvo,,otras,basico
E0082,leer_escribir,P0060,,Lee la palabra en náhuatl 'tlokoya' y escribe su traducción al español,triste,,otras,intermedio
E0083,leer_escribir,P0061,,Lee la palabra en náhuatl 'soltik' y escribe su traducción al español,viejo,,otras,basico
E0084,leer_escribir,P0062,,Lee la palabra en náhuatl 'milauak' y escribe su traducción al español,True,,otras,basico
E0085,leer_escribir,P0063,,Lee la palabra en náhuatl 'no' y escribe su traducción al español,mi,,otras,basico
E0086,leer_escribir,P0064,,Lee la palabra en náhuatl 'mo' y escribe su traducción al español,tu,,otras,basico
E0087,leer_escribir,P0065,,Lee la palabra en náhuatl 'i' y escribe su traducción al español,su,,otras,basico
E0088,leer_escribir,P0066,,Lee la palabra en náhuatl 'to' y escribe su traducción al español,nuestro,,otras,basico
E0089,leer_escribir,P0067,,Lee la palabra en náhuatl 'namo' y escribe su traducción al español,su,,otras,basico
E0090,leer_escribir,P0068,,Lee la palabra en náhuatl 'in' y escribe su traducción al español,sus,,otras,basico
E0091,leer_escribir,P0069,,Lee la palabra en náhuatl 'yolik' y escribe su traducción al español,despacio,,otras,basico
E0092,leer_escribir,P0070,,Lee la palabra en náhuatl 'semi yolik' y escribe su traducción al español,muy lento,,otras,intermedio
E0093,completar_frase,P0070,,Completa: La palabra en náhuatl para 'muy lento' es _____,semi yolik,semi yolik|otro|semxx,otras,intermedio
E0094,leer_escribir,P0071,,Lee la palabra en náhuatl 'yalua' y escribe su traducción al español,ayer,,saludos y tiempo,basico
E0095,completar_frase,P0071,,Completa: La palabra en náhuatl para 'ayer' es _____,yalua,yalua|yalxx|otro,saludos y tiempo,basico
E0096,leer_escribir,P0072,,Lee la palabra en náhuatl 'mostle’' y escribe su traducción al español,diariamente,,otras,intermedio
E0097,leer_escribir,P0073,,Lee la palabra en náhuatl 'soktepa' y escribe su traducción al español,después,,saludos y tiempo,basico
E0098,completar_frase,P0073,,Completa: La palabra en náhuatl para 'después' es _____,soktepa,soktepa|apetk|otro,saludos y tiempo,basico
E0099,leer_escribir,P0074,,Lee la palabra en náhuatl 'tla’tlamiayan' y escribe su traducción al español,finalmente,,saludos y tiempo,intermedio
E0100,completar_frase,P0074,,Completa: La palabra en náhuatl para 'finalmente' es _____,tla’tlamiayan,tla’tlamiayan|nayai|otro,saludos y tiempo,intermedio
E0101,leer_escribir,P0075,,Lee la palabra en náhuatl 'axa' y escribe su traducción al español,hoy,,saludos y tiempo,intermedio
E0102,completar_frase,P0075,,Completa: La palabra en náhuatl para 'hoy' es _____,axa,axa|otro|axa,saludos y tiempo,intermedio
E0103,leer_escribir,P0076,,Lee la palabra en náhuatl 'mostla' y escribe su traducción al español,mañana,,saludos y tiempo,intermedio
E0104,completar_frase,P0076,,Completa: La palabra en náhuatl para 'mañana' es _____,mostla,mostla|altso|otro,saludos y tiempo,intermedio
E0105,leer_escribir,P0077,,Lee la palabra en náhuatl 'ok ipan' y escribe su traducción al español,mientras,,saludos y tiempo,basico
E0106,completar_frase,P0077,,Completa: La palabra en náhuatl para 'mientras' es _____,ok ipan,ok ipan|napi |ok xx,saludos y tiempo,basico
E0107,leer_escribir,P0078,,Lee la palabra en náhuatl 'niankema' y escribe su traducción al español,nunca,,saludos y tiempo,intermedio
E0108,completar_frase,P0078,,Completa: La palabra en náhuatl para 'nunca' es _____,niankema,niankema|amekn|otro,saludos y tiempo,intermedio
E0109,leer_escribir,P0079,,Lee la palabra en náhuatl 'achtopa' y escribe su traducción al español,primeramente,,otras,basico
E0110,leer_escribir,P0080,,Lee la palabra en náhuatl 'nochipa' y escribe su traducción al español,siempre,,saludos y tiempo,basico
E0111,completar_frase,P0080,,Completa: La palabra en náhuatl para 'siempre' es _____,nochipa,nochipa|apihc|otro,saludos y tiempo,basico
E0112,leer_escribir,P0081,,Lee la palabra en náhuatl 'miak' y escribe su traducción al español,mucho,,otras,basico
E0113,leer_escribir,P0082,,Lee la palabra en náhuatl 'niantle' y escribe su traducción al español,nada,,otras,intermedio
E0114,leer_escribir,P0083,,Lee la palabra en náhuatl 'a’mo miak' y escribe su traducción al español,poco,,otras,intermedio
E0115,completar_frase,P0083,,Completa: La palabra en náhuatl para 'poco' es _____,a’mo miak,a’mo miak|a’mxx|otro,otras,intermedio
E0116,leer_escribir,P0084,,Lee la palabra en náhuatl 'tipitsi' y escribe su traducción al español,poquito,,otras,intermedio
E0117,leer_escribir,P0085,,Lee la palabra en náhuatl 'keme'' y escribe su traducción al español,si,,saludos y tiempo,intermedio
E0118,completar_frase,P0085,,Completa: La palabra en náhuatl para 'si' es _____,keme',keme'|'emek|kemxx,saludos y tiempo,intermedio
E0119,leer_escribir,P0086,,Lee la palabra en náhuatl 'a'mo' y escribe su traducción al español,no,,saludos y tiempo,intermedio
E0120,completar_frase,P0086,,Completa: La palabra en náhuatl para 'no' es _____,a'mo,a'mo|otro|om'a,saludos y tiempo,intermedio
E0121,leer_escribir,P0087,,Lee la palabra en náhuatl 'noijki a'mo' y escribe su traducción al español,tampoco,,otras,intermedio
E0122,completar_frase,P0087,,Completa: La palabra en náhuatl para 'tampoco' es _____,noijki a'mo,noijki a'mo|om'a |noixx,otras,intermedio
E0123,leer_escribir,P0088,,Lee la palabra en náhuatl 'no iuan' y escribe su traducción al español,además,,otras,basico
E0124,leer_escribir,P0089,,Lee la palabra en náhuatl 'a’chika' y escribe su traducción al español,constantemente,,otras,basico
E0125,leer_escribir,P0090,,Lee la palabra en náhuatl 'a’mo iuan' y escribe su traducción al español,exclusive,,saludos y tiempo,intermedio
E0126,completar_frase,P0090,,Completa: La palabra en náhuatl para 'exclusive' es _____,a’mo iuan,a’mo iuan|naui |a’mxx,saludos y tiempo,intermedio
E0127,leer_escribir,P0091,,Lee la palabra en náhuatl 'iuan' y escribe su traducción al español,incluso,,otras,basico
E0128,leer_escribir,P0092,,Lee la palabra en náhuatl 'kemanian' y escribe su traducción al español,ocasionalmente,,saludos y tiempo,intermedio
E0129,completar_frase,P0092,,Completa: La palabra en náhuatl para 'ocasionalmente' es _____,kemanian,kemanian|kemxx|naina,saludos y tiempo,intermedio
E0130,leer_escribir,P0093,,Lee la palabra en náhuatl 'soktepa' y escribe su traducción al español,posteriormente,,otras,basico
E0131,leer_escribir,P0094,,Lee la palabra en náhuatl 'noijki' y escribe su traducción al español,también,,saludos y tiempo,basico
E0132,completar_frase,P0094,,Completa: La palabra en náhuatl para 'también' es _____,noijki,noijki|ikjio|noixx,saludos y tiempo,basico
E0133,leer_escribir,P0095,,Lee la palabra en náhuatl 'tlalpa' y escribe su traducción al español,abajo,,direcciones y lugares,intermedio
E0134,leer_escribir,P0096,,Lee la palabra en náhuatl 'nepa' y escribe su traducción al español,allá,,direcciones y lugares,basico
E0135,leer_escribir,P0097,,Lee la palabra en náhuatl 'nichka' y escribe su traducción al español,allí,,otras,basico
E0136,leer_escribir,P0098,,Lee la palabra en náhuatl 'nika' y escribe su traducción al español,aquí,,direcciones y lugares,basico
E0137,leer_escribir,P0099,,Lee la palabra en náhuatl 'ue’kapa' y escribe su traducción al español,arriba,,direcciones y lugares,basico
E0138,leer_escribir,P0100,,Lee la palabra en náhuatl 'a’mo ue’ka' y escribe su traducción al español,cerca,,direcciones y lugares,intermedio
E0139,completar_frase,P0100,,Completa: La palabra en náhuatl para 'cerca' es _____,a’mo ue’ka,a’mo ue’ka|a’mxx|otro,direcciones y lugares,intermedio
E0140,leer_escribir,P0101,,Lee la palabra en náhuatl 'itlampa in' y escribe su traducción al español,debajo de,,direcciones y lugares,intermedio
E0141,completar_frase,P0101,,Completa: La palabra en náhuatl para 'debajo de' es _____,itlampa in,itlampa in|itlxx|ni ap,direcciones y lugares,intermedio
E0142,leer_escribir,P0102,,Lee la palabra en náhuatl 'tlaixpa' y escribe su traducción al español,delante,,direcciones y lugares,intermedio
E0143,leer_escribir,P0103,,Lee la palabra en náhuatl 'tla’tik' y escribe su traducción al español,dentro,,direcciones y lugares,intermedio
E0144,leer_escribir,P0104,,Lee la palabra en náhuatl 'pani' y escribe su traducción al español,encima,,direcciones y lugares,basico
E0145,leer_escribir,P0105,,Lee la palabra en náhuatl 'kaltenko' y escribe su traducción al español,fuera,,direcciones y lugares,intermedio
E0146,leer_escribir,P0106,,Lee la palabra en náhuatl 'ue'ka' y escribe su traducción al español,lejos,,direcciones y lugares,intermedio
E0147,leer_escribir,P0107,,Lee la palabra en náhuatl 'ompik' y escribe su traducción al español,por allá,,direcciones y lugares,basico
E0148,leer_escribir,P0108,,Lee la palabra en náhuatl 'nikik' y escribe su traducción al español,por aquí,,direcciones y lugares,basico
E0149,leer_escribir,P0109,,Lee la palabra en náhuatl 'itech' y escribe su traducción al español,sobre,,direcciones y lugares,basico
E0150,leer_escribir,P0110,,Lee la palabra en náhuatl 'keman' y escribe su traducción al español,cuando,,otras,basico
E0151,leer_escribir,P0111,,Lee la palabra en náhuatl '¿kenik?' y escribe su traducción al español,¿cómo?,,preguntas,basico
E0152,leer_escribir,P0112,,Lee la palabra en náhuatl '¿keman?' y escribe su traducción al español,¿cuándo?,,preguntas,basico
E0153,leer_escribir,P0113,,Lee la palabra en náhuatl '¿kechi?' y escribe su traducción al español,¿cuánto?,,preguntas,basico
E0154,leer_escribir,P0114,,Lee la palabra en náhuatl '¿keman?' y escribe su traducción al español,¿dónde?,,preguntas,basico
E0155,leer_escribir,P0115,,Lee la palabra en náhuatl '¿tleka?' y escribe su traducción al español,¿para qué?,,otras,intermedio
E0156,leer_escribir,P0116,,Lee la palabra en náhuatl '¿tleka?' y escribe su traducción al español,¿por qué?,,preguntas,intermedio
E0157,leer_escribir,P0117,,Lee la palabra en náhuatl '¿tlenon?' y escribe su traducción al español,¿qué?,,preguntas,intermedio
E0158,leer_escribir,P0118,,Lee la palabra en náhuatl '¿akinon?' y escribe su traducción al español,¿quién?,,preguntas,intermedio
E0159,leer_escribir,P0119,,Lee la palabra en náhuatl 'yolilistili' y escribe su traducción al español,nacer,,verbos y acciones,intermedio
E0160,completar_frase,P0119,,Completa: La palabra en náhuatl para 'nacer' es _____,yolilistili,yolilistili|yolxx|otro,verbos y acciones,intermedio
E0161,leer_escribir,P0120,,Lee la palabra en náhuatl 'nikilistli' y escribe su traducción al español,amar,,elementos de la naturaleza,intermedio
E0162,completar_frase,P0120,,Completa: La palabra en náhuatl para 'amar' es _____,nikilistli,nikilistli|nikxx|iltsi,elementos de la naturaleza,intermedio
E0163,leer_escribir,P0121,,Lee la palabra en náhuatl 'tlakualistli' y escribe su traducción al español,comer,,verbos y acciones,intermedio
E0164,completar_frase,P0121,,Completa: La palabra en náhuatl para 'comer' es _____,tlakualistli,tlakualistli|otro|iltsi,verbos y acciones,intermedio
E0165,leer_escribir,P0122,,Lee la palabra en náhuatl 'onilistli' y escribe su traducción al español,beber,,verbos y acciones,intermedio
E0166,completar_frase,P0122,,Completa: La palabra en náhuatl para 'beber' es _____,onilistli,onilistli|iltsi|onixx,verbos y acciones,intermedio
E0167,leer_escribir,P0123,,Lee la palabra en náhuatl 'yetos' y escribe su traducción al español,ser,,verbos y acciones,intermedio
E0168,completar_frase,P0123,,Completa: La palabra en náhuatl para 'ser' es _____,yetos,yetos|yetxx|otro,verbos y acciones,intermedio
E0169,leer_escribir,P0124,,Lee la palabra en náhuatl 'nemachtilistli' y escribe su traducción al español,aprender,,verbos y acciones,intermedio
E0170,completar_frase,P0124,,Completa: La palabra en náhuatl para 'aprender' es _____,nemachtilistli,nemachtilistli|nemxx|otro,verbos y acciones,intermedio
E0171,leer_escribir,P0125,,Lee la palabra en náhuatl 'paxalolistli' y escribe su traducción al español,pasear,,verbos y acciones,intermedio
E0172,completar_frase,P0125,,Completa: La palabra en náhuatl para 'pasear' es _____,paxalolistli,paxalolistli|paxxx|otro,verbos y acciones,intermedio
E0173,leer_escribir,P0126,,Lee la palabra en náhuatl 'auiltilistli' y escribe su traducción al español,jugar,,verbos y acciones,intermedio
E0174,completar_frase,P0126,,Completa: La palabra en náhuatl para 'jugar' es _____,auiltilistli,auiltilistli|otro|auixx,verbos y acciones,intermedio
E0175,leer_escribir,P0127,,Lee la palabra en náhuatl 'tikitilistli' y escribe su traducción al español,trabajar,,verbos y acciones,intermedio
E0176,completar_frase,P0127,,Completa: La palabra en náhuatl para 'trabajar' es _____,tikitilistli,tikitilistli|iltsi|tikxx,verbos y acciones,intermedio
E0177,leer_escribir,P0128,,Lee la palabra en náhuatl 'o ni mauiltiaya' y escribe su traducción al español,jugaba,,otras,intermedio
E0178,completar_frase,P0128,,Completa: La palabra en náhuatl para 'jugaba' es _____,o ni mauiltiaya,o ni mauiltiaya|otro|ayait,otras,intermedio
E0179,leer_escribir,P0129,,Lee la palabra en náhuatl 'o ni momachtiaya' y escribe su traducción al español,estudiaba,,otras,intermedio
E0180,completar_frase,P0129,,Completa: La palabra en náhuatl para 'estudiaba' es _____,o ni momachtiaya,o ni momachtiaya|ayait|otro,otras,intermedio
E0181,leer_escribir,P0130,,Lee la palabra en náhuatl 'o ni moseuiaya' y escribe su traducción al español,descansaba,,otras,intermedio
E0182,completar_frase,P0130,,Completa: La palabra en náhuatl para 'descansaba' es _____,o ni moseuiaya,o ni moseuiaya|otro|ayaiu,otras,intermedio
E0183,leer_escribir,P0131,,Lee la palabra en náhuatl 'o ni tekitiaya' y escribe su traducción al español,trabajaba,,otras,intermedio
E0184,completar_frase,P0131,,Completa: La palabra en náhuatl para 'trabajaba' es _____,o ni tekitiaya,o ni tekitiaya|o nxx|otro,otras,intermedio
E0185,leer_escribir,P0132,,Lee la palabra en náhuatl 'o ni tlatsotsonaya' y escribe su traducción al español,tocaba,,otras,intermedio
E0186,completar_frase,P0132,,Completa: La palabra en náhuatl para 'tocaba' es _____,o ni tlatsotsonaya,o ni tlatsotsonaya|o nxx|ayano,otras,intermedio
E0187,leer_escribir,P0133,,Lee la palabra en náhuatl 'o ni mauiltiskia' y escribe su traducción al español,jugaría,,verbos y acciones,intermedio
E0188,completar_frase,P0133,,Completa: La palabra en náhuatl para 'jugaría' es _____,o ni mauiltiskia,o ni mauiltiskia|o nxx|otro,verbos y acciones,intermedio
E0189,leer_escribir,P0134,,Lee la palabra en náhuatl 'o ni momachtiskia' y escribe su traducción al español,estudiaría,,verbos y acciones,intermedio
E0190,completar_frase,P0134,,Completa: La palabra en náhuatl para 'estudiaría' es _____,o ni momachtiskia,o ni momachtiskia|aiksi|otro,verbos y acciones,intermedio
E0191,leer_escribir,P0135,,Lee la palabra en náhuatl 'o ni moseuiskia' y escribe su traducción al español,descansaría,,verbos y acciones,intermedio
E0192,completar_frase,P0135,,Completa: La palabra en náhuatl para 'descansaría' es _____,o ni moseuiskia,o ni moseuiskia|aiksi|o nxx,verbos y acciones,intermedio
E0193,leer_escribir,P0136,,Lee la palabra en náhuatl 'o ni tekitiskia' y escribe su traducción al español,trabajaría,,verbos y acciones,intermedio
E0194,completar_frase,P0136,,Completa: La palabra en náhuatl para 'trabajaría' es _____,o ni tekitiskia,o ni tekitiskia|aiksi|otro,verbos y acciones,intermedio
E0195,leer_escribir,P0137,,Lee la palabra en náhuatl 'o ni tlatsotsonaskia' y escribe su traducción al español,tocaría,,verbos y acciones,intermedio
E0196,completar_frase,P0137,,Completa: La palabra en náhuatl para 'tocaría' es _____,o ni tlatsotsonaskia,o ni tlatsotsonaskia|o nxx|otro,verbos y acciones,intermedio
E0197,leer_escribir,P0138,,Lee la palabra en náhuatl 'nexixka' y escribe su traducción al español,ano,,saludos y tiempo,intermedio
E0198,completar_frase,P0138,,Completa: La palabra en náhuatl para 'ano' es _____,nexixka,nexixka|akxix|nexxx,saludos y tiempo,intermedio
E0199,leer_escribir,P0139,,Lee la palabra en náhuatl 'seyak' y escribe su traducción al español,axila,,otras,basico
E0200,leer_escribir,P0140,,Lee la palabra en náhuatl 'tentsontli' y escribe su traducción al español,barba,,otras,intermedio
E0201,completar_frase,P0140,,Completa: La palabra en náhuatl para 'barba' es _____,tentsontli,tentsontli|tenxx|iltno,otras,intermedio
E0202,seleccionar_imagen,P0141,,Selecciona la imagen que representa 'kamak',boca,boca|árbol|víbora|perro,partes del cuerpo,basico
E0203,leer_escribir,P0141,,Lee la palabra en náhuatl 'kamak' y escribe su traducción al español,boca,,partes del cuerpo,basico
E0204,seleccionar_imagen,P0142,,Selecciona la imagen que representa 'ma’tsokol',brazo,brazo|perro|árbol|luna,partes del cuerpo,intermedio
E0205,leer_escribir,P0142,,Lee la palabra en náhuatl 'ma’tsokol' y escribe su traducción al español,brazo,,partes del cuerpo,intermedio
E0206,completar_frase,P0142,,Completa: La palabra en náhuatl para 'brazo' es _____,ma’tsokol,ma’tsokol|otro|lokos,partes del cuerpo,intermedio
E0207,seleccionar_imagen,P0143,,Selecciona la imagen que representa 'tsonteko',cabeza,cabeza|luna|árbol|sol,partes del cuerpo,intermedio
E0208,leer_escribir,P0143,,Lee la palabra en náhuatl 'tsonteko' y escribe su traducción al español,cabeza,,partes del cuerpo,intermedio
E0209,leer_escribir,P0144,,Lee la palabra en náhuatl 'nakatl' y escribe su traducción al español,carne,,otras,intermedio
E0210,seleccionar_imagen,P0145,,Selecciona la imagen que representa 'xayak',cara,cara|gato|estrella|víbora,partes del cuerpo,intermedio
E0211,leer_escribir,P0145,,Lee la palabra en náhuatl 'xayak' y escribe su traducción al español,cara,,partes del cuerpo,intermedio
