aciertos_totales,vidas_perdidas,pistas_usadas,tiempo_total_segundos,max_racha_correctas,errores_traducir,errores_completar,errores_imagenes,nivel_asignado
8,7,7,140,2,3,3,1,Basico
4,4,3,302,3,2,2,0,Basico
5,6,5,228,3,3,2,1,Basico
5,8,10,221,3,4,4,0,Basico
5,6,5,273,1,1,2,3,Basico
6,7,7,173,3,3,3,1,Basico
2,3,3,337,1,1,2,0,Basico
5,5,5,216,3,2,2,1,Basico
4,3,2,230,1,2,1,0,Basico
7,4,3,142,0,3,1,0,Basico
6,7,3,164,2,5,1,1,Basico
0,9,9,387,0,2,3,4,Basico
8,9,6,76,4,4,4,1,Basico+
2,9,7,415,1,3,4,2,Basico
3,7,3,253,1,5,0,2,Basico
1,3,3,449,0,1,2,0,Basico
4,4,4,326,1,0,4,0,Basico
7,6,1,165,3,4,0,2,Basico
2,5,2,283,1,3,2,0,Basico
6,2,4,116,5,0,0,2,Basico+
8,5,4,108,7,4,0,1,Basico+
3,6,5,372,0,3,2,1,Basico+
2,3,4,367,1,1,2,0,Basico
10,0,1,56,7,0,0,0,Intermedio
8,2,1,134,6,2,0,0,Basico+
6,2,2,220,3,1,1,0,Basico
8,1,3,119,5,1,0,0,Basico
2,8,8,329,0,5,0,3,Basico
4,9,9,266,1,3,3,3,Basico
2,2,2,307,1,0,2,0,Basico
3,8,5,317,1,3,5,0,Basico
1,3,2,448,0,0,2,1,Basico
6,1,2,193,4,1,0,0,Basico+
9,9,3,89,8,4,4,1,Basico+
8,1,3,189,5,1,0,0,Basico+
2,8,7,366,1,5,2,1,Basico
6,6,5,110,2,1,2,3,Basico
2,7,5,371,1,4,3,0,Basico
1,5,3,418,0,0,3,2,Basico
7,10,6,131,2,5,2,3,Basico
3,5,4,286,1,3,1,1,Basico
3,9,7,197,2,3,4,2,Basico
6,4,1,182,2,1,2,1,Basico
2,8,8,215,1,3,1,4,Basico
1,9,2,454,0,4,2,3,Basico
8,9,4,83,3,1,6,2,Basico+
5,6,3,202,1,3,3,0,Basico
0,9,9,423,0,5,3,1,Basico
8,7,2,114,5,5,2,0,Basico+
6,6,1,121,5,3,1,2,Basico+
6,0,2,344,2,0,0,0,Basico
8,7,3,140,5,3,1,3,Basico+
1,7,6,407,0,2,4,1,Basico
6,9,9,267,2,5,4,0,Basico
2,6,1,324,1,1,2,3,Basico
8,5,5,57,6,5,0,0,Basico+
6,0,2,113,0,0,0,0,Basico
2,6,5,294,1,3,3,0,Basico
10,8,7,87,7,5,3,0,Basico+
9,5,4,99,8,2,2,1,Basico+
7,7,6,167,3,4,3,0,Basico
7,4,1,168,4,2,2,0,Basico+
3,5,5,327,2,3,2,0,Basico
4,8,4,173,4,4,3,1,Basico
2,8,7,344,1,4,4,0,Basico+
8,7,5,65,4,4,1,2,Basico+
1,6,3,417,0,2,1,3,Basico
4,0,3,284,3,0,0,0,Basico
3,2,0,255,1,2,0,0,Basico
5,4,2,139,3,1,2,1,Basico
3,3,3,221,1,1,2,0,Basico
9,9,6,175,3,3,2,4,Basico
7,8,5,149,5,3,5,0,Basico
0,1,1,477,0,0,1,0,Basico
6,7,7,160,1,3,4,0,Basico
7,1,1,94,4,0,0,1,Basico+
6,10,5,151,3,5,3,2,Basico
0,5,6,415,0,2,0,3,Basico
2,9,7,403,1,4,5,0,Basico
10,3,2,27,8,2,0,1,Intermedio
3,9,6,331,3,3,3,3,Basico
8,4,2,109,8,2,2,0,Basico+
8,4,4,141,6,1,1,2,Basico+
6,5,1,172,4,4,1,0,Basico
4,9,4,219,1,3,3,3,Basico
6,5,1,191,5,2,2,1,Basico
10,1,0,70,5,0,0,1,Intermedio
6,6,1,285,2,3,2,1,Basico
7,9,7,172,2,3,5,1,Basico
10,3,2,26,3,2,1,0,Intermedio
1,4,1,291,0,2,1,1,Basico
3,1,0,286,1,1,0,0,Basico
3,2,3,274,2,1,1,0,Basico
2,9,4,308,1,6,2,1,Basico
5,1,1,266,2,1,0,0,Basico
10,6,4,32,7,3,2,1,Basico
7,7,7,175,5,2,4,1,Basico
6,6,5,148,2,4,2,0,Basico
3,8,5,363,3,3,2,3,Basico
3,5,4,250,2,3,1,1,Basico
4,9,3,283,3,2,4,3,Basico
9,4,6,46,4,3,1,0,Basico+
5,2,3,133,3,2,0,0,Intermedio
4,1,1,300,2,0,1,0,Basico+
6,7,2,206,5,2,4,1,Basico
0,3,3,358,0,3,0,0,Basico
5,1,2,224,4,1,0,0,Basico
5,5,4,283,0,3,2,0,Basico
3,3,3,255,2,1,1,1,Basico
7,6,5,90,4,3,2,1,Basico+
4,9,7,190,2,3,4,2,Basico
5,1,2,183,3,0,0,1,Basico
6,1,0,140,3,1,0,0,Basico+
10,10,10,20,7,5,3,2,Basico+
1,4,0,357,0,1,3,0,Basico
7,2,1,157,5,2,0,0,Basico+
9,3,4,166,0,2,1,0,Basico+
2,0,0,404,0,0,0,0,Basico
3,3,3,254,1,1,2,0,Basico
2,6,5,307,0,3,3,0,Basico
5,10,8,399,2,4,3,3,Basico
10,6,1,51,3,4,2,0,Basico
3,3,2,407,1,1,1,1,Basico
3,2,1,266,1,1,1,0,Basico+
10,5,6,46,9,3,2,0,Intermedio
3,2,4,377,1,2,0,0,Basico
8,1,1,135,4,1,0,0,Basico+
4,6,5,330,2,2,3,1,Basico
5,4,4,273,2,2,2,0,Basico
2,2,0,405,0,0,1,1,Basico
2,9,8,386,1,3,2,4,Basico
9,3,4,109,6,1,2,0,Basico+
3,3,1,274,1,3,0,0,Basico
4,0,3,289,3,0,0,0,Basico
9,10,5,159,7,6,2,2,Basico+
7,2,3,196,2,2,0,0,Basico
5,9,8,243,2,6,2,1,Basico
1,10,7,371,0,3,5,2,Basico
9,0,2,43,5,0,0,0,Intermedio
1,5,2,399,1,3,2,0,Basico
6,4,3,238,6,2,1,1,Basico
4,1,2,324,2,1,0,0,Basico
0,2,1,396,0,0,2,0,Basico
1,6,6,421,0,3,2,1,Basico
3,0,2,329,1,0,0,0,Basico
5,4,5,217,3,0,2,2,Basico
0,2,4,312,0,1,1,0,Basico
8,9,2,123,7,5,3,1,Basico+
8,6,6,80,3,5,0,1,Basico+
7,5,5,148,6,2,2,1,Basico+
10,8,4,144,5,2,2,4,Basico+
6,5,7,177,4,0,4,1,Basico
6,7,8,241,3,5,2,0,Basico
0,7,4,434,0,4,2,1,Basico
6,8,10,160,0,2,2,4,Basico
6,5,4,229,4,3,2,0,Basico
5,8,8,300,2,6,0,2,Basico
8,7,6,129,3,2,4,1,Basico+
4,8,5,227,2,1,6,1,Basico
2,2,3,276,0,2,0,0,Basico
6,3,5,150,3,1,1,1,Basico
9,2,2,34,9,1,0,1,Intermedio
5,3,2,272,1,2,0,1,Basico
2,3,2,258,0,1,2,0,Basico
3,5,6,302,1,1,3,1,Basico
0,5,2,476,0,2,0,3,Intermedio
6,3,1,209,4,2,1,0,Basico
5,0,0,147,4,0,0,0,Basico+
0,7,5,382,0,3,3,1,Basico
2,3,2,241,1,0,3,0,Basico
3,8,4,226,1,4,1,3,Basico
5,1,2,253,4,1,0,0,Basico
3,1,3,325,2,1,0,0,Basico
4,1,1,216,1,1,0,0,Basico
1,3,2,394,0,1,1,1,Basico
6,7,2,164,5,3,4,0,Basico
6,3,4,309,4,1,1,1,Basico
5,7,2,227,1,3,4,0,Basico
5,0,0,200,2,0,0,0,Basico
6,10,5,304,4,3,4,3,Basico
9,7,4,86,2,3,4,0,Basico+
6,4,5,270,5,0,3,1,Basico
2,8,3,344,1,5,0,3,Basico
4,0,1,205,2,0,0,0,Basico
2,9,6,288,1,4,4,1,Basico
6,4,4,175,4,3,1,0,Basico
9,3,5,107,6,2,1,0,Basico+
5,5,4,203,3,1,3,1,Basico
0,3,1,353,0,0,3,0,Basico
0,8,9,513,0,5,3,0,Basico
6,1,1,174,2,1,0,0,Basico
0,0,0,475,0,0,0,0,Basico
2,4,1,408,2,1,2,1,Basico
4,3,3,235,2,2,1,0,Basico
4,6,5,235,2,4,1,1,Basico
2,5,7,461,1,1,2,2,Basico
10,2,1,44,7,1,1,0,Intermedio
10,8,3,90,5,4,4,0,Basico+
8,6,4,96,3,4,2,0,Basico+
2,4,5,213,0,0,3,1,Basico
3,4,2,396,1,3,0,1,Basico
6,7,6,164,3,1,4,2,Basico
10,3,4,20,3,1,2,0,Basico
3,3,4,403,1,1,1,1,Basico
3,3,2,340,1,1,1,1,Basico
5,1,0,164,3,0,0,1,Basico
6,9,6,197,3,2,4,3,Basico
10,9,4,45,6,2,4,3,Basico+
5,4,6,225,3,1,0,3,Basico
6,0,2,192,4,0,0,0,Basico+
5,5,4,280,1,3,2,0,Basico
10,6,8,73,9,0,4,2,Intermedio
1,6,4,356,1,4,1,1,Basico
6,7,5,176,5,3,2,2,Basico
6,5,4,189,2,2,3,0,Basico
1,2,2,366,0,0,1,1,Intermedio
9,6,3,69,8,4,1,1,Intermedio
0,2,2,270,0,1,1,0,Basico
5,5,4,196,4,3,1,1,Basico
10,1,3,43,4,0,1,0,Intermedio
4,3,2,268,1,2,1,0,Basico
3,1,2,256,2,1,0,0,Basico
1,3,3,373,0,2,0,1,Basico
4,4,3,212,1,3,1,0,Basico
6,6,7,180,5,1,3,2,Basico
0,8,7,397,0,5,0,3,Basico
10,7,2,152,9,4,2,1,Basico+
6,2,0,213,5,1,1,0,Basico
8,7,5,130,7,2,4,1,Basico+
5,7,5,186,2,3,2,2,Basico
6,9,8,255,3,7,1,1,Basico
8,1,3,103,2,1,0,0,Basico+
0,6,3,371,0,3,2,1,Basico+
6,3,4,237,6,2,1,0,Basico
4,7,9,251,3,4,3,0,Basico
2,5,3,295,1,4,1,0,Basico
2,4,1,276,2,2,2,0,Basico
2,9,7,394,1,5,2,2,Basico
2,2,1,202,1,1,0,1,Basico
7,1,0,166,2,0,1,0,Intermedio
6,0,0,209,4,0,0,0,Basico+
2,3,2,300,1,2,1,0,Basico
5,6,5,242,2,3,1,2,Basico
8,5,6,118,6,2,3,0,Intermedio
4,1,3,239,2,1,0,0,Basico
5,2,2,248,4,0,2,0,Basico
1,9,3,292,0,2,6,1,Basico
1,4,4,319,1,1,0,3,Basico
4,1,0,211,2,0,0,1,Basico
3,5,5,275,2,4,1,0,Basico
2,9,3,348,0,5,2,2,Basico
10,9,6,33,7,4,5,0,Basico+
3,8,4,332,2,5,2,1,Basico
0,5,6,304,0,4,1,0,Basico
8,4,3,152,4,1,2,1,Basico+
4,1,1,219,2,0,1,0,Basico
5,9,6,309,1,4,3,2,Basico+
5,6,6,238,2,6,0,0,Basico
5,5,2,267,4,3,2,0,Basico
6,8,5,136,1,6,1,1,Basico
4,1,1,301,2,1,0,0,Basico
3,1,2,318,2,1,0,0,Intermedio
5,2,3,364,3,0,2,0,Basico
1,2,2,382,0,1,1,0,Basico
1,3,3,454,0,2,1,0,Basico
5,7,9,134,4,4,2,1,Basico
8,2,2,107,6,0,2,0,Basico+
5,8,4,189,5,6,1,1,Basico
1,9,5,381,0,4,1,4,Basico
6,2,4,128,5,0,2,0,Intermedio
7,1,0,176,6,0,1,0,Basico+
9,7,7,93,8,1,4,2,Basico+
8,6,7,94,4,4,2,0,Basico+
6,7,5,204,1,2,3,2,Basico
5,2,4,201,2,0,1,1,Basico
0,2,1,427,0,1,1,0,Basico
4,8,6,162,2,3,5,0,Basico
4,3,4,207,3,3,0,0,Basico
3,2,3,251,2,0,2,0,Basico
4,5,2,224,3,3,1,1,Basico
8,9,2,131,6,7,2,0,Basico+
4,8,9,182,3,3,2,3,Basico
8,5,7,84,4,0,4,1,Basico+
7,0,1,209,3,0,0,0,Basico+
2,4,5,423,1,0,2,2,Basico
3,3,4,339,0,1,1,1,Intermedio
4,3,4,260,3,3,0,0,Basico
4,7,3,352,3,4,2,1,Basico
2,10,10,370,1,6,1,3,Basico
5,9,6,259,1,3,3,3,Basico
6,8,8,151,0,2,4,2,Basico
6,2,1,153,5,0,2,0,Basico+
3,9,3,327,0,3,3,3,Basico
4,4,4,196,2,3,1,0,Basico
7,1,0,164,0,1,0,0,Basico
2,9,7,422,2,5,4,0,Basico
1,3,4,340,0,2,1,0,Basico
7,4,4,117,6,2,1,1,Basico+
3,7,6,362,1,1,5,1,Basico
7,8,6,178,6,0,7,1,Basico
8,0,2,153,7,0,0,0,Basico+
4,6,4,235,1,2,3,1,Basico
9,0,3,33,3,0,0,0,Intermedio
6,7,5,221,2,1,2,4,Basico
7,0,1,203,5,0,0,0,Basico+
3,3,3,321,0,1,0,2,Basico
5,8,2,246,4,3,3,2,Basico
6,5,5,163,4,2,2,1,Basico
2,5,7,190,2,3,2,0,Basico
4,8,1,287,3,5,2,1,Basico
5,6,7,285,2,2,3,1,Basico
4,1,0,289,3,1,0,0,Basico
4,8,6,361,1,3,4,1,Basico
7,7,8,191,5,4,2,1,Basico
9,2,2,123,6,1,1,0,Basico+
3,0,3,279,1,0,0,0,Basico
2,2,0,344,1,1,0,1,Basico
7,3,4,162,5,1,1,1,Basico+
8,1,0,86,5,1,0,0,Basico
1,3,3,350,0,3,0,0,Basico
3,1,3,226,0,1,0,0,Basico
0,0,2,437,0,0,0,0,Basico
6,8,10,207,3,5,1,2,Basico
10,8,10,146,3,5,1,2,Basico+
5,7,4,152,4,3,2,2,Basico
6,9,5,176,1,5,1,3,Basico
4,9,6,208,3,5,1,3,Basico
5,8,7,172,2,3,3,2,Basico
3,2,1,291,1,1,1,0,Intermedio
4,8,9,312,1,4,2,2,Basico
3,9,6,362,2,1,3,5,Basico
8,3,3,119,6,2,1,0,Basico
3,8,2,273,0,3,2,3,Basico
3,5,4,310,1,1,3,1,Basico
6,5,5,156,5,1,1,3,Basico
6,8,4,208,3,4,3,1,Basico
1,1,2,351,0,1,0,0,Basico
3,7,7,244,1,3,3,1,Basico
3,5,3,348,1,3,2,0,Basico
7,8,5,169,4,5,3,0,Basico
4,3,4,215,3,3,0,0,Basico
0,1,1,397,0,1,0,0,Basico
8,5,2,82,6,1,4,0,Basico+
1,1,1,298,0,1,0,0,Basico
0,10,8,291,0,5,5,0,Basico
4,5,4,248,3,3,2,0,Basico
9,2,1,46,6,1,1,0,Intermedio
7,6,2,131,3,2,3,1,Basico
2,8,3,284,1,5,2,1,Basico
4,10,4,285,3,1,5,4,Basico
10,5,2,134,8,2,3,0,Intermedio
3,1,2,229,2,1,0,0,Basico
5,5,4,213,3,3,1,1,Basico
6,8,10,222,5,3,4,1,Basico
4,3,4,212,3,3,0,0,Basico
9,7,3,67,5,1,4,2,Basico+
3,9,5,242,1,2,5,2,Basico
8,4,2,83,7,0,2,2,Basico+
8,2,0,123,7,1,1,0,Basico+
7,0,1,170,4,0,0,0,Basico+
9,7,9,143,3,2,4,1,Basico+
2,7,7,390,0,5,2,0,Basico
3,7,5,360,3,2,3,2,Basico
3,10,5,369,2,5,4,1,Basico
3,8,5,364,2,4,4,0,Basico
0,8,5,336,0,1,7,0,Basico
4,2,3,393,3,2,0,0,Basico
2,4,5,257,1,2,1,1,Basico
7,6,4,206,2,4,1,1,Basico
2,7,5,315,1,3,4,0,Basico
2,9,2,327,1,4,5,0,Basico
4,3,2,258,1,2,1,0,Basico
8,6,6,138,5,2,2,2,Basico+
5,5,3,229,2,3,1,1,Basico
5,2,3,283,1,1,0,1,Basico
1,8,8,403,0,2,4,2,Basico
5,9,7,211,3,2,4,3,Basico+
5,7,1,209,1,4,3,0,Basico
3,0,1,360,1,0,0,0,Basico
10,9,8,88,9,2,6,1,Intermedio
5,9,3,206,1,3,5,1,Basico
10,7,7,61,6,3,3,1,Basico
6,8,8,232,4,5,3,0,Basico
7,4,4,158,2,2,2,0,Basico
9,3,2,97,1,1,1,1,Basico+
2,7,4,280,0,4,2,1,Basico
6,1,0,267,1,0,1,0,Basico
5,3,3,166,1,2,1,0,Basico
0,8,8,389,0,4,2,2,Basico
7,9,3,145,6,2,4,3,Basico+
5,6,5,194,1,4,1,1,Basico
7,4,4,168,2,2,1,1,Intermedio
4,10,6,287,3,8,2,0,Basico
2,3,3,353,1,1,2,0,Basico
3,2,2,375,1,0,2,0,Basico
7,9,5,253,2,6,2,1,Basico
4,5,1,342,1,5,0,0,Basico
5,8,4,357,4,4,2,2,Basico
7,8,9,213,5,4,2,2,Basico
2,1,3,404,1,0,1,0,Basico
2,8,7,365,1,4,2,2,Basico
4,9,2,259,1,5,2,2,Basico
5,6,7,357,3,2,3,1,Basico
6,7,9,210,3,4,2,1,Basico
4,8,6,282,1,4,1,3,Basico
5,7,8,278,4,2,2,3,Basico
6,0,2,114,3,0,0,0,Basico+
4,5,1,356,3,1,2,2,Basico
8,7,6,58,3,2,5,0,Basico+
6,4,5,237,2,2,2,0,Basico
8,10,6,161,2,5,3,2,Basico
10,9,5,66,4,2,4,3,Basico+
1,6,5,441,0,3,3,0,Basico
3,2,1,282,1,1,1,0,Basico
7,7,7,108,2,3,2,2,Basico
8,2,1,120,2,0,1,1,Basico+
2,9,8,341,0,1,6,2,Basico
4,6,3,271,2,2,2,2,Basico
5,9,7,252,3,5,2,2,Basico
4,4,5,206,3,2,0,2,Basico
5,7,4,288,0,2,2,3,Basico
5,6,5,187,3,3,2,1,Basico
0,3,4,362,0,0,2,1,Basico
10,10,10,73,5,3,4,3,Basico+
5,7,9,220,4,3,3,1,Basico
6,5,5,291,2,2,2,1,Basico
10,3,3,82,5,2,0,1,Intermedio
4,8,9,209,0,6,0,2,Basico
5,1,3,181,4,0,0,1,Basico+
4,4,6,234,1,3,1,0,Basico
1,7,3,408,0,1,4,2,Basico
8,10,10,82,2,2,8,0,Basico+
10,9,8,81,6,2,2,5,Basico+
4,7,4,321,3,1,4,2,Basico
4,9,5,193,2,5,3,1,Basico
6,5,4,175,5,2,2,1,Basico
2,6,1,405,2,2,2,2,Basico
6,9,10,113,4,5,3,1,Basico
4,4,4,256,3,0,1,3,Basico
9,8,6,74,2,3,4,1,Basico+
6,1,1,235,3,0,0,1,Basico
6,8,6,323,4,5,2,1,Basico
9,1,0,53,7,1,0,0,Intermedio
6,4,4,193,4,2,2,0,Basico
2,0,2,270,1,0,0,0,Basico
3,7,5,317,2,3,1,3,Basico
2,5,1,413,1,3,1,1,Basico
3,8,5,456,2,5,2,1,Basico
0,4,3,423,0,3,1,0,Basico
4,6,3,268,2,3,0,3,Basico
2,3,5,263,2,1,1,1,Basico
3,1,0,320,1,0,0,1,Basico
0,7,6,496,0,2,0,5,Basico
0,2,3,492,0,0,1,1,Basico
7,0,0,247,2,0,0,0,Basico
6,2,3,190,2,0,2,0,Basico
4,4,1,295,3,1,2,1,Basico+
8,2,4,82,7,1,1,0,Basico+
10,9,9,120,3,6,1,2,Basico+
6,3,4,237,4,0,2,1,Basico
0,5,5,379,0,3,1,1,Basico
1,2,3,480,0,0,1,1,Basico
5,4,3,220,2,2,1,1,Basico
2,9,10,279,1,2,5,2,Basico
6,7,4,131,5,2,3,2,Basico
6,8,4,182,5,6,2,0,Basico
6,3,5,278,5,0,3,0,Basico
9,7,6,81,6,5,1,1,Basico+
0,0,1,406,0,0,0,0,Basico
7,6,1,195,4,3,1,2,Basico
5,6,3,217,3,3,2,1,Basico
5,4,3,241,4,2,2,0,Basico
7,8,9,186,3,5,2,1,Basico
5,5,6,219,5,2,2,1,Basico
8,8,7,80,5,5,1,2,Basico+
3,2,4,389,3,1,1,0,Basico
7,3,2,156,5,2,1,0,Basico+
6,8,8,175,1,2,2,4,Basico
5,4,2,241,0,2,1,1,Basico
6,0,2,252,3,0,0,0,Basico
5,4,4,172,3,3,1,0,Basico
5,2,4,240,4,1,0,1,Basico
5,3,1,198,2,1,1,1,Basico
8,5,4,91,7,2,1,2,Basico+
9,9,3,36,7,6,2,1,Basico+
7,4,1,165,4,2,0,2,Basico+
5,5,2,263,4,3,2,0,Basico
6,9,6,206,2,2,5,2,Basico
4,7,4,241,3,4,2,1,Basico
2,7,5,331,2,2,2,3,Basico
5,6,6,200,1,4,2,0,Basico
7,1,0,220,5,1,0,0,Basico+
6,0,3,184,4,0,0,0,Basico+
2,1,3,367,0,1,0,0,Basico
0,0,1,429,0,0,0,0,Basico
10,7,4,28,8,4,1,2,Intermedio
9,8,7,43,6,2,4,2,Basico+
2,1,1,408,0,0,0,1,Basico
10,1,3,20,9,0,0,1,Intermedio
6,6,3,141,5,3,3,0,Basico
0,5,3,334,0,2,2,1,Basico
5,9,5,214,5,5,4,0,Basico
3,3,3,236,0,3,0,0,Basico
3,6,8,407,2,2,4,0,Basico
8,3,2,191,7,2,1,0,Basico+
5,0,2,183,0,0,0,0,Basico
8,8,5,207,5,2,3,3,Basico
0,8,6,453,0,4,2,2,Basico
8,7,7,70,5,5,1,1,Basico+
10,7,5,20,9,5,2,0,Intermedio
5,2,3,220,2,2,0,0,Basico
9,6,5,104,9,2,1,3,Basico+
4,2,2,411,2,0,2,0,Basico
7,8,5,171,2,1,5,2,Basico
2,8,6,338,0,2,5,1,Basico
6,6,6,162,3,4,0,2,Basico+
4,4,1,256,1,1,1,2,Basico
6,1,2,228,4,0,1,0,Basico
3,6,8,296,2,3,2,1,Basico
4,8,6,250,1,3,3,2,Basico
6,9,5,192,2,3,2,4,Basico
5,0,1,215,5,0,0,0,Basico
9,4,2,170,5,2,1,1,Basico+
5,8,6,244,0,5,2,1,Basico
3,9,4,262,2,4,2,3,Basico
7,6,4,168,2,2,4,0,Basico
5,8,5,213,4,4,2,2,Basico
3,9,8,276,0,5,4,0,Basico
1,4,6,301,0,1,3,0,Basico
3,1,2,323,1,1,0,0,Basico
6,9,7,198,0,5,3,1,Basico
7,1,2,184,7,0,0,1,Basico+
6,8,4,206,4,4,2,2,Basico
